Full  log(Wcor)   e    Icor   Mcor        e
                 10-3   mag     mag  0.01mag

    1      2.224   11  14.51  -18.79      15
    2      2.418   22  13.10  -20.79      10
    3      2.519    5  11.69  -21.79      17
    4      2.288   65  14.13  -19.28      15
    5      2.554    9  12.14  -21.27      16
    6      2.310   14  13.75  -19.69       9
    7      2.411   10  13.22  -19.95      11
    8      2.352   20  13.14  -20.20      10
    9      2.452   18  12.69  -20.67      10
   10      2.331   17  13.86  -19.97      14
   11      2.416   24  13.25  -19.87       9
   12      2.592   31  12.76  -20.43      10
   13      2.674    8  11.08  -22.51      13
   14      2.352   21  13.18  -20.48       8
   15      2.404   12  13.04  -20.17      17
   16      2.327   24  12.48  -19.10       8
   17      2.724    7  11.18  -22.09       8
   18      2.489   73  13.35  -20.02       5
   19      2.595   22  12.50  -21.66       8
   20      2.568   15  12.54  -20.92      15
   21      2.554   10  12.18  -21.27       8
   22      2.393   16  12.59  -20.87      16
   23      2.438    8  13.56  -20.33      21
   24      2.194   20  14.34  -19.12      13
   25      2.476   36  12.42  -21.03      26
   26      2.431   31  12.53  -20.93       7
   27      2.651   35  12.19  -21.27       5
   28      2.379   19  14.07  -20.03       5
   29      2.463   18  12.49  -20.96       4
   30      2.272   15  14.57  -18.86      16
   31      2.378   78  13.59  -19.70       6
   32      2.464    9  12.74  -20.25      15
   33      2.390    7  12.45  -20.98      11
   34      2.645    7  11.28  -22.15      13
   35      2.498   30  13.21  -20.90       6
   36      2.425   12  12.91  -20.52      12
   37      2.458   53  12.71  -20.72      13
   38      2.235   40  13.55  -19.43      11
   39      2.686   12  11.12  -22.31      14
   40      2.508   16  12.17  -21.26       7
   41      2.519   18  13.41  -20.75       6
   42      2.698    6  11.58  -21.85      15
   43      2.573    7  11.80  -21.62      12
   44      2.706    6  10.86  -22.57      10
   45      2.362   20  14.01  -18.93      11
   46      2.510    5  11.95  -20.94      13
   47      2.565   18  11.76  -21.72       6
   48      2.472    6  13.10  -20.86      14
   49      2.463   26  14.07  -20.01      11
   50      2.180   15  14.90  -18.53      10
   51      2.631    6  11.53  -21.53      11
   52      2.446   15  12.78  -20.80      13
   53      2.300   50  13.99  -19.33       9
   54      2.535   12  11.94  -21.67      17
   55      2.530   10  12.30  -21.37       8
